userName,userStatus,CardNumber,CardDate,SubscriberNumber,MonthlyFeeCharge,firstPurchase,authcode
"amitmalca10","SUBSCRIBER","4234567890123456789","01/26","1","0","0","0"
"david","SUBSCRIBER","2374565357635223","01/27","2","0","0","27821"
"emma","SUBSCRIBER","3475687875435245",NULL,"3",NULL,NULL,"0"
"ethan","SUBSCRIBER","2346523145235421",NULL,"4",NULL,NULL,"0"
"jacob","SUBSCRIBER","1325412424124142",NULL,"5",NULL,NULL,"0"
"jessica","APPROVED","2354756532136523","01/24",NULL,"0","0","0"
"lielpasman","PENDING","1234567890123456789","01/21",NULL,"0","0","0"
"mary","SUBSCRIBER","3285723576287855",NULL,"6",NULL,NULL,"0"
"michael","Registered To Subscriber","1352647354865756",NULL,"0",NULL,NULL,"0"
"mikejohnson","SUBSCRIBER","1231241251352351",NULL,"7",NULL,NULL,"0"
"nadav","SUBSCRIBER","5435254856746353","01/26","8","0","0","8662"
"tkss15","SUBSCRIBER","4234567890123456789","04/26","9","0","0","7002"

