userName, userStatus, CardNumber, CardDate, SubscriberNumber, MonthlyFeeCharge, firstPurchase
david, SUBSCRIBER, 2374565357635223, NULL, 3, 0, 1
emma, SUBSCRIBER, 3475687875435245, NULL, 5, 0, 1
ethan, SUBSCRIBER, 2346523145235421, NULL, 7, 0, 1
jacob, SUBSCRIBER, 1325412424124142, NULL, 8, 0, 1
jessica, APPROVED, 2354756532136523, NULL, 0, 0, 1
john, SUBSCRIBER, 5465327485676435, NULL, 9, 0, 1
joshua, SUBSCRIBER, 5364756873524347, NULL, 10, 0, 1
mary, SUBSCRIBER, 3285723576287855, NULL, 6, 0, 1
michael, APPROVED, 1352647354865756, NULL, 0, 0, 1
mikejohnson, SUBSCRIBER, 1231241251352351, NULL, 2, 0, 1
rachel, SUBSCRIBER, 3745687453423457, NULL, 11, 0, 1
sophie, SUBSCRIBER, 5435254856746353, NULL, 4, 0, 1
tkss15, SUBSCRIBER, 4562352634523523, 1/1/2, 1, 0, 0
