firstName,lastName,telephone,Email,ID,userName,userPassword,userOnline,Area
Amit,Malca,0538301984,amitmalca10@gmail.com,324130483,amitmalca10,123456,Offline,North
"amn","amn","0541786985","amn@gmail.com","1547895874","amn","123456","Offline","North"
"ams","ams","0541875982","ams@gmail.com","1236549871","ams","123456","Offline","South"
"amuae","amuae","0589652547","amuae@gmail.com","2065874125","amuae","123456","Online","UAE"
"David","Martinez","0543111631","davidMartinez@gmail.com","209878777","david","martinez","Offline","South"
"de1","de1","0503698745","de1@gmail.com","1231231231","de1","123456","Offline","UAE"
"Max","Galkin","0547266451","MaxGalkin@gmail.com","206123531","delop2","123456","Offline","South"
"Pire","haladetz","0548997616","PireHaladetz@gmail.com","206575452","delop3","123456","Offline","North"
"Pilmen","Borisovich","0506215478","PilemBorisovich@gmail.com","5554446669","delopn","123456","Offline","North"
"Emma","Williams","548978670","emmaWilliams@gmail.com","209878770","emma","williams","Offline","North"
"Ethan","Miller","548978673","ethanMiller@gmail.com","209878773","ethan","miller","Offline","UAE"
"Jacob","Jones","0548978671","jacobJones@gmail.com","209878771","jacob","jones","Offline","North"
"Jake","Sully","0549328652","JakeSully@gmail.com","205893781","jakesu192","123456","Offline","All"
"Jessica","Davis","0548978674","jessicaDavis@gmail.com","209878774","jessica","davis","Online","North"
"Liel","Pasman","0547443546","lielpasman@e.braude.ac.il","323068502","lielpasman","123456","Offline","UAE"
"Elon","Musk","0504698745","ElonMusk@gmail.com","1231231231","marmen","123456","Offline","All"
"Mary","Smith","548978666","marySmith@gmail.com","209878766","mary","smith","Offline","South"
"Michael","Brown","0548978672","michaelBrown@gmail.com","209878772","michael","brown","Offline","UAE"
"Mike","Johnson","1234567890","mike.johnson@example.com","5","mikejohnson","123456","Offline","South"
"Nadav","Shneor","0544443536","NadavShneor@gmail.com","206696833","nadav","123456","Online","North"
"Shahar","Hason","0524569874","ShaharHason@gmail.com","3336669998","nen","123456","Offline","North"
"Magnus","Carlsen","0504711131","MagnusCarlsen@gmail.com","6464646464","opwn","123456","Offline","North"
"Aguretz","Kartoshka","0547267665","AguretzKartoshka@gmail.com","206898768","provn1","123456","Offline","North"
"Kalbasa","Sasiska","0548989764","KalbasaSasiska@gmail.com","206879664","provs2","123456","Offline","South"
"Hleb","Sardelka","0546542718","HlebSardelka@gmail.com","206752917","provu3","123456","Offline","UAE"
"sales1","sales1","0542658782","sales1@gmail.com","1111111111","sales1","123456","Offline","North"
"Sophie","Johnson","548978669","sophieJohnson@gmail.com","209878769","sophie","johnson","Offline","North"
"Eldad","Shneor","0547443546","Eldadshneor@gmail.com","206696833","tkss15","123456","Offline","North"
